" - Adeje,""28.12185,-16.72464"""
" - Agulo,""28.18672,-17.19591"""
" - Alajeró,""28.06276,-17.23902"""
" - Arafo,""28.34072,-16.41512"""
" - Arico,""28.1778,-16.47941"""
" - Arona,""28.10047,-16.68066"""
" - Barlovento,""28.82735,-17.80326"""
" - Breña Alta,""28.65905,-17.79119"""
" - Breña Baja,""28.63037,-17.79027"""
" - Buenavista del Norte,""28.37029,-16.85024"""
" - Candelaria,""28.35276,-16.37013"""
" - Fasnia,""28.23996,-16.43982"""
" - Frontera,""27.75379,-18.00364"""
" - Fuencaliente de la Palma,""28.4885,-17.84942"""
" - Garachico,""28.37217,-16.76521"""
" - Garafía,""28.81667,-17.91667"""
" - Granadilla de Abona,""28.12018,-16.57691"""
" - Guancha (La),""28.37436,-16.65256"""
" - Guía de Isora,""28.20995,-16.779"""
" - Güímar,""28.31723,-16.41325"""
" - Hermigua,""28.16725,-17.19206"""
" - Icod de los Vinos,""28.36761,-16.71886"""
" - Llanos de Aridane (Los),""28.65619,-17.91137"""
" - Matanza de Acentejo (La),""28.45248,-16.46325"""
" - Orotava (La),""28.39108,-16.52354"""
" - Paso (El),""28.65043,-17.87833"""
" - Pinar de El Hierro (El),""27.7255,-18.0243"""
" - Puerto de la Cruz,""28.41339,-16.54516"""
" - Puntagorda,""28.75,-17.96667"""
" - Puntallana,""28.73491,-17.7509"""
" - Realejos (Los),""28.36667,-16.58333"""
" - Rosario (El),""28.42729,-16.35815"""
" - San Andrés y Sauces,""28.8,-17.76667"""
" - San Cristóbal de La Laguna,""28.48812,-16.31478"""
" - San Juan de la Rambla,""28.39464,-16.65047"""
" - San Miguel de Abona,""28.09838,-16.61715"""
" - San Sebastián de la Gomera,""28.09222,-17.11187"""
" - Santa Cruz de la Palma,""28.68326,-17.76396"""
" - Santa Cruz de Tenerife,""28.46981,-16.25486"""
" - Santa Úrsula,""28.42549,-16.48891"""
" - Santiago del Teide,""28.29614,-16.81461"""
" - Sauzal (El),""28.47941,-16.43661"""
" - Silos (Los),""28.36535,-16.81598"""
" - Tacoronte,""28.48153,-16.412"""
" - Tanque (El),""28.33258,-16.78752"""
" - Tazacorte,""28.6427,-17.93224"""
" - Tegueste,""28.52328,-16.33353"""
" - Tijarafe,""28.7,-17.95"""
" - Valle Gran Rey,""28.12357,-17.32575"""
" - Vallehermoso,""28.17902,-17.26406"""
" - Valverde,""27.8089,-17.91566"""
" - Victoria de Acentejo (La),""28.43531,-16.46762"""
" - Vilaflor,""28.15728,-16.63811"""
" - Villa de Mazo,""28.58121,-17.79915"""
